PERMNO,date,RET
10104,1999-01-29,0.284058
10104,1999-02-26,0.009029
10104,1999-03-31,-0.291946
10104,1999-04-30,0.026066
10104,1999-05-28,-0.083141
10104,1999-06-30,0.496222
10104,1999-07-30,0.025253
10104,1999-08-31,-0.041051
10104,1999-09-30,0.246575
10104,1999-10-29,0.045330
10104,1999-11-30,0.425756
10104,1999-12-31,0.652535
10104,2000-01-31,-0.108477
10104,2000-02-29,0.486393
10104,2000-03-31,0.051347
10104,2000-04-28,0.024019
10104,2000-05-31,-0.100860
10104,2000-06-30,0.169565
10104,2000-07-31,-0.105576
10104,2000-08-31,0.209476
10104,2000-09-29,-0.134021
10104,2000-10-31,-0.161905
10104,2000-11-30,-0.196970
10104,2000-12-29,0.096698
10104,2001-01-31,0.002151
10104,2001-02-28,-0.347639
10104,2001-03-30,-0.211579
10104,2001-04-30,0.078772
10104,2001-05-31,-0.053218
10104,2001-06-29,0.241830
10104,2001-07-31,-0.048421
10104,2001-08-31,-0.324668
10104,2001-09-28,0.030303
10104,2001-10-31,0.077901
10104,2001-11-30,0.034661
10104,2001-12-31,-0.015681
10104,2002-01-31,0.249819
10104,2002-02-28,-0.037080
10104,2002-03-28,-0.229844
10104,2002-04-30,-0.215625
10104,2002-05-31,-0.211155
10104,2002-06-28,0.195707
10104,2002-07-31,0.056917
10104,2002-08-30,-0.041862
10104,2002-09-30,-0.180396
10104,2002-10-31,0.296438
10104,2002-11-29,0.192345
10104,2002-12-31,-0.111111
10104,2003-01-31,0.113889
10104,2003-02-28,-0.005819
10104,2003-03-31,-0.092893
10104,2003-04-30,0.095032
10104,2003-05-30,0.095118
10104,2003-06-30,-0.076864
10104,2003-07-31,-0.001665
10104,2003-08-29,0.070058
10104,2003-09-30,-0.123149
10104,2003-10-31,0.064000
10104,2003-11-28,0.004177
10104,2003-12-31,0.100665
10104,2004-01-30,0.047619
10104,2004-02-27,-0.071429
10104,2004-03-31,-0.067599
10104,2004-04-30,-0.062500
10104,2004-05-28,0.013333
10104,2004-06-30,0.046491
10104,2004-07-30,-0.119028
10104,2004-08-31,-0.051380
10104,2004-09-30,0.131394
10104,2004-10-29,0.122340
10104,2004-11-30,0.006319
10104,2004-12-31,0.076923
10104,2005-01-31,0.003644
10104,2005-02-28,-0.059550
10104,2005-03-31,-0.036293
10104,2005-04-29,-0.073718
10104,2005-05-31,0.107266
10104,2005-06-30,0.031250
10104,2005-07-29,0.028030
10104,2005-08-31,-0.042741
10104,2005-09-30,-0.045420
10104,2005-10-31,0.022581
10104,2005-11-30,-0.006309
10104,2005-12-30,-0.030952
10104,2006-01-31,0.029484
10104,2006-02-28,-0.011933
10104,2006-03-31,0.102254
10104,2006-04-28,0.065741
10104,2006-05-31,-0.025360
10104,2006-06-30,0.018987
10104,2006-07-31,0.033126
10104,2006-08-31,0.046092
10104,2006-09-29,0.132822
10104,2006-10-31,0.041150
10104,2006-11-30,0.031402
10104,2006-12-29,-0.100262
10104,2007-01-31,0.001167
10104,2007-02-28,-0.042541
10104,2007-03-30,0.103469
10104,2007-04-30,0.036955
10104,2007-05-31,0.030851
